"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Czech Republic","CZE","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7","10.4","","","9.8","","","","","","9.5","","9","9.3","9.3","9.7","9.8","9.6","9.4","9.3","9.6","9.4","9.7","9.7","10","10.2","10.2","10.1","","",
"Germany","DEU","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","8.9","9","8.5","8.6","8.9","8.9","8.9","8.7","8.8","8.6","8.6","8.5","8.5","8.2","8.3","8.3","8.4","8.3","8.4","8.4","8.2","8.1","8.1","7.9","7.9","7.9","7.9","","","",
"Djibouti","DJI","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","4.3","4.9","","","","5.4","","","","",
"Dominica","DMA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4","","","","","9.8","","","10.7","","","","","10.4","","","9.8","9.9","9.8","9.8","9.8","9.8","9.2","9.3","9.4","9.3","9.1","9.1","9.4","9.2","9.1","9.3","9.5","","",
"Dominican Republic","DOM","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","","","4.2","","","4.3","","","","4.3","4","","","3.7","4.1","3.8","3.8","3.9","4.1","3.9","4.4","4.6","4.5","4.6","4.7","4.9","4.8","5.1","5","4.9","5.9","5.8","6","6.2","",
"Algeria","DZA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","","","","","","7","","","","","","","","","","","","","","","","9.4","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","","","","","2.6","3","","","3.3","3.2","3.2","3.7","3.5","3.8","4.1","4.1","4.4","4.3","4.5","4.8","4.6","4.7","4.7","4.6","4.5","4.1","",
