rank,artist_names,track_name,label,peak_rank,weeks_on_chart,streams
158,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,107,26,6425618
159,Nirvana,Smells Like Teen Spirit,Geffen,103,83,6412353
160,Ed Sheeran,Shape of You,Atlantic Records UK,1,289,6390794
161,Rex Orange County,THE SHADE,Rex Orange County,161,3,6352101
162,Ed Sheeran,Perfect,Atlantic Records UK,4,282,6292454
163,Conan Gray,Heather,Republic Records,12,107,6281646
164,"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),Mercury Records/Republic Records,18,13,6279210
165,Avicii,Wake Me Up,Universal Music AB,13,87,6268427
166,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,93,6253074
167,Bruno Mars,Locked out of Heaven,Atlantic Records,106,32,6198057
168,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,168,4,6167819
169,Måneskin,Beggin',RCA Records Label,1,62,6102045
170,Dove Cameron,Boyfriend,Disruptor Records/Columbia,11,26,6097973
171,"Beyoncé, BEAM",ENERGY (feat. Beam),Parkwood Entertainment/Columbia,34,2,6095132
172,Harry Styles,Matilda,Columbia,5,12,6082901
173,Harry Styles,Music For a Sushi Restaurant,Columbia,6,12,6078050
174,Panic! At The Disco,House of Memories,Decaydance/Fueled By Ramen,64,16,6074166
175,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,149,33,6074114
176,Ezhel,Nerdesin,StageArt Europe,164,3,6067356
177,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",WEA Latina/DALE PLAY Records,37,23,6038266
178,"NAV, Lil Baby, Travis Scott",Never Sleep (with Lil Baby feat. Travis Scott),XO Records / Republic Records,101,2,5996235
179,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,72,5984916
180,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",116,42,5980372
181,"Ana Castela, Melody, Dj Chris No Beat",Pipoco,Ana Castela,100,4,5975947
182,Jaymes Young,Infinity,Atlantic Records,11,41,5974347
183,Olivia Rodrigo,happier,Olivia Rodrigo PS,12,64,5964039
184,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,Republic Records,18,20,5937057
185,Arctic Monkeys,Why'd You Only Call Me When You're High?,Domino Recording Co,104,40,5927486
186,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",Aftermath,44,86,5922812
187,Shawn Mendes,There's Nothing Holdin' Me Back,Island Records,5,72,5907999
188,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,59,19,5896219
189,Beyoncé,SUMMER RENAISSANCE,Parkwood Entertainment/Columbia,46,2,5867950
190,Zion & Lennox,Yo Voy (feat. Daddy Yankee),Baby Records Inc,59,25,5862129
191,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,34,45,5808637
192,The Neighbourhood,Softcore,Columbia,35,30,5802014
193,Sofia Carson,Come Back Home,Hollywood Records,193,1,5794883
194,BTS,Yet To Come,BIGHIT MUSIC,7,8,5789766
195,Imagine Dragons,Demons,Kid Ina Korner / Interscope,194,2,5754675
196,"Shae Gill, Ali Sethi",Pasoori,Giraffe Pakistan,109,16,5751788
197,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,300 Entertainment,17,22,5748303
198,Kanye West,Heartless,Roc-A-Fella,198,1,5744785
199,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",9,40,5737695
200,Hozier,Take Me To Church,Universal-Island Records Ltd.,108,85,5735149
